SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
Federal Street,Agiliti,AGLY,8/13/2018,1/4/2019,"1,740",378%,Healthcare,US/Canada,99.30%,$10.51 ,,#N/A,"John L. Workman, MBA, CPA","Thomas J. Leonard, MBA",Thomas W. Boehning,#N/A,"James B. Pekarek, MBA, CPA","Michael A. Bell, MBA, CPA","Darren M. Friedman, MBA","Gary L. Gottlieb, MD, MBA","Thomas J. Leonard, MBA","Joshua M. Nelson, MBA","Megan M. Preiner, MBA","Scott M. Sperling, MBA",,,,,,,,,4/4/2019,7/3/2019,12/30/2019,#N/A,#N/A,#N/A,#N/A
Stellar III,Phunware,PHUN,2/28/2018,12/26/2018,333,474%,Technology,US/Canada,99.40%,$1.72 ,$0.37 ,8.5566,Blythe S. J. Masters,"Alan S. Knitowski, MBA","Alan S. Knitowski, MBA","Randall Crowder, MBA","Matt Aune, MBA",Keith O. Cowan,"Randall Crowder, MBA","Alan S. Knitowski, MBA","Eric Manlunas, MBA",Lori Tauber Marcus,"Kathy Tan Mayor, MBA","George Syllantavos, MBA",,,,,,,,,3/26/2019,6/24/2019,12/21/2019,#N/A,34.9,#N/A,#N/A
Draper Oakwood,Reebonz,RBZHF,9/4/2018,12/19/2018,252,438%,Consumer,Asia,75.70%,$0.07 ,$0.01 ,0.0301,Kok Eng Lim,Kok Eng Lim,#N/A,Cassie Mah,Nupur Sadiwala,Roderick William Perry,Jeff Richards,,,,,,,,,,,,,,3/19/2019,6/17/2019,12/14/2019,#N/A,7.03,#N/A,#N/A
Avista Healthcare,Organogenesis,ORGO,8/17/2018,12/11/2018,673,217%,Healthcare,US/Canada,100.00%,$21.17 ,,16.8082,Alan A. Ades,"Gary S. Gillheeney, Sr., MBA","Gary S. Gillheeney, Sr., MBA","Patrick R. Bilbo, MBA","David Charles Francisco, MBA","Robert Adès, MBA",David Erani,"Gary S. Gillheeney, Sr., MBA","Arthur S. Leibowitz, CPA","Wayne D. Mackie, CPA",Glenn H. Nussdorf,"Joshua A. Tamaroff, MBA",,,,,,,,,3/11/2019,6/9/2019,12/6/2019,#N/A,10.19,#N/A,#N/A
Industrea Acq,CPH,BBCP,9/7/2018,12/6/2018,695,297%,Industrial,US/Canada,97.10%,$7.18 ,$1.10 ,25.7107,"David A. B. Brown, MBA, CPA",Bruce Franklin Young,#N/A,#N/A,Iain Humphries,Ray Cheesman,"Heather L. Faust, MBA",David Graham Hall,Brian Hodges,"Matthew M. Homme, MBA",Iain Humphries,"Howard D. Morgan, MBA","Tariq Abdalla Mohamed Osman, MBA","John M. Piecuch, MBA","M. Brent Stevens, MBA, CPA",Bruce Franklin Young,,,,,3/6/2019,6/4/2019,12/1/2019,#N/A,7.99,#N/A,#N/A
I-AM Capital,SMAAASH,WINR,5/8/2018,11/21/2018,264,501%,Media & Entertainment,US/Canada,85.50%,$12.14 ,$0.36 ,2.6818,Jed P. Kaplan,"Roman Nehemiah Franklin, MBA","Roman Nehemiah Franklin, MBA","Roman Nehemiah Franklin, MBA","Knicks Lau, CPA","Donald Richard Caldwell, MBA, CPA","Roman Nehemiah Franklin, MBA","William H. Herrmann, Jr., MBA","Max W. Hooper, PhD, MBA",Ed Jaroski,Frank Leavy,,,,,,,,,,2/19/2019,5/20/2019,11/16/2019,#N/A,11.76,#N/A,#N/A
Landcadia I,Waitr,WTRH,6/29/2020,11/15/2018,388,155%,Technology,US/Canada,6.90%,$2.80 ,,46.7334,Carl A. Grimstad,Carl A. Grimstad,#N/A,#N/A,"Leonid Bogdanov, CPA",Tilman Joseph Fertitta,Jonathan Jacob Green,Rusty R. Holzer,Christopher Meaux,"Buddy Horner Ortale, MBA","Pouyan Salehi, MBA",Steven L. Scheinthal,"William Gray Stream, MBA",,,,,,,,2/13/2019,5/14/2019,11/10/2019,#N/A,12.11,#N/A,#N/A
Kayne Anderson,Altus Midstream,ALTM,8/8/2018,11/9/2018,"2,624",695%,Energy,US/Canada,78.10%,$54.07 ,$0.06 ,34.8971,"Jon William Sauer, CPA","David Clay Bretches, MBA","David Clay Bretches, MBA",Bryan Graham,"Ben C. Rodgers, MBA",Mark A. Borer,"David Clay Bretches, MBA",Staci L. Burns,Joe C. Frana,David Mark Leland,"Kevin S. McCarthy, MBA",Christopher J. Monk,Stephen P. Noe,Robert S. Purgason,"Ben C. Rodgers, MBA",,,,,,2/7/2019,5/8/2019,11/4/2019,#N/A,162.8,#N/A,#N/A
Matlin & Partners,U.S. Well Services,USWS,7/16/2018,11/9/2018,588,181%,Energy,US/Canada,88.80%,$0.88 ,$0.17 ,26.7127,David L. Treadwell,Joel N. Broussard,Joel N. Broussard,#N/A,Kyle P. O'Neill,Joel N. Broussard,"Richard Alan Burnett, CPA",Ryan Carroll,Steve Saad Habachy,"Adam J. Klein, MBA",David Jeffrey Matlin,Eddie Mike Watson,,,,,,,,,2/7/2019,5/8/2019,11/4/2019,#N/A,7.96,#N/A,#N/A
Easterly Acq,Sirius,SG,6/25/2018,11/5/2018,"2,200",1100%,Financial,US/Canada,81.30%,,$0.40 ,#N/A,#N/A,#N/A,#N/A,Monica M. Cramér-Manhem,#N/A,#N/A,,,,,,,,,,,,,,,2/3/2019,5/4/2019,10/31/2019,#N/A,13.55,#N/A,#N/A
